Day in June,Flow /m^3s^-1,Height/m
25,9.04,0.519
25.010417,9.16,0.521
25.020833,9.16,0.521
25.03125,9.34,0.524
25.041667,9.28,0.523
25.052083,9.58,0.528
25.0625,9.94,0.534
25.072917,10.6,0.545
25.083333,11.6,0.561
25.09375,13.1,0.584
25.104167,13.9,0.596
25.114583,14.2,0.601
25.125,14.8,0.61
25.135417,15.8,0.624
25.145833,16.5,0.635
25.15625,17.3,0.646
25.166667,18.1,0.657
25.177083,19.3,0.674
25.1875,20.2,0.686
25.197917,21.6,0.705
25.208333,23.1,0.725
25.21875,23.6,0.731
25.229167,24.1,0.737
25.239583,25.2,0.752
25.25,26.7,0.771
25.260417,28.1,0.788
25.270833,29.3,0.803
25.28125,33.4,0.852
25.291667,38.2,0.908
25.302083,42.9,0.961
25.3125,42.9,0.961
25.322917,55.3,1.095
25.333333,67.1,1.217
25.34375,78.9,1.333
25.354167,87.3,1.414
25.364583,91.1,1.465
25.375,95.1,1.546
25.385417,99.1,1.628
25.395833,104,1.73
25.40625,112,1.875
25.416667,120,2.045
25.427083,125,2.141
25.4375,131,2.252
25.447917,136,2.353
25.458333,141,2.456
25.46875,146,2.548
25.479167,151,2.651
25.489583,157,2.763
25.5,164,2.898
25.510417,173,3.061
25.520833,180,3.197
25.53125,181,3.226
25.541667,186,3.313
25.552083,192,3.429
25.5625,197,3.516
25.572917,203,3.634
25.583333,208,3.729
25.59375,213,3.824
25.604167,217,3.899
25.614583,221,3.979
25.625,225,4.049
25.635417,228,4.109
25.645833,231,4.159
25.65625,234,4.209
25.666667,236,4.259
25.677083,239,4.309
25.6875,242,4.359
25.697917,245,4.409
25.708333,247,4.459
25.71875,250,4.509
25.729167,253,4.559
25.739583,254,4.589
25.75,256,4.619
25.760417,258,4.649
25.770833,259,4.675
25.78125,259,4.673
25.791667,259,4.669
25.802083,259,4.666
25.8125,258,4.654
25.822917,257,4.634
25.833333,257,4.633
25.84375,254,4.582
25.854167,252,4.552
25.864583,252,4.538
25.875,249,4.495
25.885417,251,4.518
25.895833,246,4.429
25.90625,246,4.429
25.916667,240,4.324
25.927083,241,4.339
25.9375,237,4.265
25.947917,233,4.194
25.958333,229,4.128
25.96875,221,3.977
25.979167,209,3.756
25.989583,201,3.605
26,196,3.501
26.010417,192,3.421
26.020833,183,3.263
26.03125,177,3.152
26.041667,175,3.103
26.052083,170,3.016
26.0625,167,2.952
26.072917,164,2.893
26.083333,160,2.818
26.09375,155,2.718
26.104167,154,2.71
26.114583,150,2.624
26.125,148,2.597
26.135417,149,2.616
26.145833,143,2.502
26.15625,141,2.449
26.166667,140,2.444
26.177083,139,2.407
26.1875,136,2.354
26.197917,135,2.33
26.208333,134,2.323
26.21875,132,2.279
26.229167,127,2.19
26.239583,129,2.226
26.25,128,2.195
26.260417,126,2.152
26.270833,124,2.119
26.28125,123,2.107
26.291667,122,2.078
26.302083,120,2.038
26.3125,119,2.027
26.322917,118,2.006
26.333333,117,1.977
26.34375,115,1.946
26.354167,115,1.944
26.364583,114,1.929
26.375,113,1.896
26.385417,113,1.903
26.395833,112,1.88
26.40625,111,1.873
26.416667,110,1.837
26.427083,108,1.811
26.4375,108,1.804
26.447917,107,1.787
26.458333,106,1.76
26.46875,105,1.751
26.479167,104,1.721
26.489583,103,1.711
26.5,103,1.699
26.510417,102,1.688
26.520833,101,1.67
26.53125,101,1.66
26.541667,99.7,1.639
26.552083,98.7,1.62
26.5625,98.6,1.616
26.572917,97.2,1.589
26.583333,96.8,1.581
26.59375,96.1,1.567
26.604167,95.5,1.555
26.614583,94.6,1.536
26.625,93.9,1.522
26.635417,92.7,1.499
26.645833,92.9,1.503
26.65625,92.1,1.486
26.666667,91.3,1.469
26.677083,90.2,1.447
26.6875,89.7,1.436
26.697917,88.2,1.422
26.708333,87.6,1.417
26.71875,83.6,1.379
26.729167,84.8,1.39
26.739583,85,1.392
26.75,82.7,1.37
26.760417,81.7,1.36
26.770833,82.6,1.369
26.78125,80.6,1.35
26.791667,78,1.324
26.802083,78.6,1.33
26.8125,76.9,1.314
26.822917,75.5,1.301
26.833333,75.6,1.301
26.84375,74.4,1.289
26.854167,73.4,1.279
26.864583,72.1,1.267
26.875,71.9,1.265
26.885417,70.6,1.252
26.895833,68.6,1.231
26.90625,67.2,1.218
26.916667,67.4,1.22
26.927083,66.9,1.215
26.9375,64.4,1.189
26.947917,65.3,1.198
26.958333,62.8,1.173
26.96875,63.5,1.18
26.979167,60.8,1.153
26.989583,61.2,1.156
27,60.1,1.145
27.010417,59.1,1.135
27.020833,58.4,1.127
27.03125,57.4,1.117
27.041667,55.6,1.099
27.052083,55.9,1.101
27.0625,54.4,1.086
27.072917,54.2,1.083
27.083333,53.6,1.077
27.09375,51.7,1.057
27.104167,51.2,1.051
27.114583,50.3,1.042
27.125,49.5,1.033
27.135417,49.1,1.028
27.145833,49.2,1.03
27.15625,47.2,1.009
27.166667,46.3,0.999
27.177083,46.1,0.997
27.1875,45,0.984
27.197917,45,0.984
27.208333,43.9,0.972
27.21875,43.5,0.968
27.229167,42.8,0.959
27.239583,42.6,0.957
27.25,41.9,0.949
27.260417,40.3,0.931
27.270833,41.2,0.942
27.28125,40.2,0.931
27.291667,39.1,0.918
27.302083,38.6,0.913
27.3125,37.7,0.902
27.322917,36,0.883
27.333333,36.4,0.887
27.34375,35.7,0.88
27.354167,35.2,0.874
27.364583,33.7,0.856
27.375,33.4,0.852
27.385417,33.4,0.852
27.395833,32.6,0.843
27.40625,31.9,0.834
27.416667,31.7,0.832
27.427083,30.6,0.819
27.4375,30.2,0.814
27.447917,30,0.811
27.458333,29,0.8
27.46875,27.9,0.786
27.479167,28.1,0.788
27.489583,28.4,0.791
27.5,27.7,0.783
27.510417,27.1,0.776
27.520833,26.2,0.764
27.53125,26.1,0.763
27.541667,26.9,0.773
27.552083,25.6,0.757
27.5625,25.5,0.756
27.572917,25.7,0.758
27.583333,25.4,0.754
27.59375,25.4,0.754
27.604167,25.2,0.752
27.614583,24.9,0.748
27.625,24.7,0.745
27.635417,24.8,0.746
27.645833,25,0.749
27.65625,24.5,0.742
27.666667,24.8,0.746
27.677083,24.5,0.743
27.6875,24.3,0.74
27.697917,24.1,0.738
27.708333,23.6,0.731
27.71875,23.5,0.73
27.729167,23.5,0.73
27.739583,23.2,0.726
27.75,23.2,0.726
27.760417,22.9,0.722
27.770833,23.1,0.725
27.78125,22.8,0.721
27.791667,22.7,0.719
27.802083,22.5,0.717
27.8125,22.3,0.714
27.822917,22.2,0.713
27.833333,21.9,0.709
27.84375,21.9,0.709
27.854167,21.7,0.706
27.864583,21.6,0.704
27.875,21.7,0.706
27.885417,21.3,0.701
27.895833,21.2,0.699
27.90625,21.2,0.699
27.916667,20.9,0.695
27.927083,20.7,0.693
27.9375,20.4,0.689
27.947917,19.8,0.68
27.958333,20.1,0.684
27.96875,19.5,0.676
27.979167,19.8,0.68
27.989583,19.8,0.68
28,19.6,0.678
28.010417,18.2,0.658
28.020833,17.5,0.649
28.03125,17.7,0.651
28.041667,17.5,0.649
28.052083,17.5,0.649
28.0625,17.5,0.648
28.072917,17.3,0.646
28.083333,17.3,0.646
28.09375,17.2,0.644
28.104167,17,0.642
28.114583,17.2,0.644
28.125,17,0.641
28.135417,16.8,0.639
28.145833,16.8,0.638
28.15625,16.8,0.639
28.166667,16.6,0.636
28.177083,16.5,0.635
28.1875,16.6,0.636
28.197917,16.6,0.636
28.208333,16.4,0.633
28.21875,16.4,0.633
28.229167,16.3,0.632
28.239583,16.3,0.631
28.25,16.3,0.631
28.260417,16.2,0.63
28.270833,16.1,0.628
28.28125,16,0.627
28.291667,15.8,0.624
28.302083,15.7,0.623
28.3125,15.6,0.622
28.322917,15.7,0.623
28.333333,15.6,0.621
28.34375,15.6,0.621
28.354167,15.4,0.619
28.364583,15.5,0.62
28.375,15.4,0.618
28.385417,15.2,0.615
28.395833,14.8,0.61
28.40625,14.2,0.6
28.416667,14.1,0.599
28.427083,14,0.598
28.4375,13.8,0.595
28.447917,14,0.598
28.458333,14,0.598
28.46875,14,0.598
28.479167,14.2,0.601
28.489583,14,0.597
28.5,14,0.598
28.510417,13.9,0.596
28.520833,13.7,0.593
28.53125,13.8,0.594
28.541667,13.6,0.591
28.552083,13.7,0.593
28.5625,13.5,0.59
28.572917,13.7,0.593
28.583333,13.2,0.586
28.59375,13.4,0.589
28.604167,13.4,0.589
28.614583,13.1,0.584
28.625,13,0.582
28.635417,13.2,0.585
28.645833,13,0.583
28.65625,12.8,0.58
28.666667,13,0.582
28.677083,12.8,0.579
28.6875,12.8,0.58
28.697917,12.8,0.58
28.708333,12.8,0.579
28.71875,12.8,0.579
28.729167,12.8,0.579
28.739583,12.7,0.578
28.75,12.6,0.577
28.760417,12.4,0.574
28.770833,12.4,0.574
28.78125,12.4,0.573
28.791667,12.5,0.575
28.802083,12.5,0.575
28.8125,12.3,0.572
28.822917,12.2,0.57
28.833333,12.3,0.572
28.84375,12.1,0.569
28.854167,12.2,0.57
28.864583,12.2,0.57
28.875,12.2,0.571
28.885417,12.2,0.571
28.895833,12.2,0.57
28.90625,12.2,0.57
28.916667,12.2,0.57
28.927083,12.2,0.57
28.9375,12.1,0.568
28.947917,12.1,0.568
28.958333,11.9,0.566
28.96875,11.9,0.565
28.979167,11.8,0.564
28.989583,11.9,0.566
29,12,0.567
